product_name,product_id,admin_price,sale_price,quantity,order_date
Iphone,1,50000,550000,2,12/5/2023
Iphone,1,50000,550000,2,2/21/2020
Iphone,1,50000,550000,2,10/5/2020
Iphone,1,50000,550000,2,9/30/2020
Iphone,1,50000,550000,2,7/2/2020
Iphone,1,50000,550000,2,7/20/2023
Iphone,1,50000,550000,2,11/7/2023
Iphone,1,50000,550000,2,7/25/2020
Iphone,1,50000,550000,2,12/1/2023
Iphone,1,50000,550000,2,11/22/2020
Iphone,1,50000,550000,2,5/13/2022
Iphone,1,50000,550000,2,4/11/2021
Iphone,1,50000,550000,2,11/6/2023
Iphone,1,50000,550000,2,2/20/2020
Iphone,1,50000,550000,2,12/17/2021
Iphone,1,50000,550000,2,1/29/2020
Iphone,1,50000,550000,2,7/20/2022
Iphone,1,50000,550000,2,8/29/2022
Iphone,1,50000,550000,2,2/24/2020
Iphone,1,50000,550000,2,8/17/2023
Iphone,1,50000,550000,2,10/27/2020
Iphone,1,50000,550000,2,5/25/2023
Iphone,1,50000,550000,2,6/12/2020
Iphone,1,50000,550000,2,4/30/2023
Iphone,1,50000,550000,2,7/26/2023
Iphone,1,50000,550000,2,9/9/2020
Iphone,1,50000,550000,2,10/21/2020
Iphone,1,50000,550000,2,8/15/2021
Iphone,1,50000,550000,2,10/5/2021
Iphone,1,50000,550000,2,11/5/2023
Iphone,1,50000,550000,2,9/28/2023
Iphone,1,50000,550000,2,10/6/2023
Iphone,1,50000,550000,2,6/15/2021
Iphone,1,50000,550000,2,1/21/2022
Iphone,1,50000,550000,2,10/19/2020
Iphone,1,50000,550000,2,4/3/2021
Iphone,1,50000,550000,2,9/30/2023
Iphone,1,50000,550000,2,1/9/2023
Iphone,1,50000,550000,2,8/13/2022
Iphone,1,50000,550000,2,4/21/2023
Iphone,1,50000,550000,2,9/28/2020
Iphone,1,50000,550000,2,5/7/2022
Iphone,1,50000,550000,2,3/15/2022
Iphone,1,50000,550000,2,7/14/2021
Iphone,1,50000,550000,2,3/2/2021
Iphone,1,50000,550000,2,9/9/2022
Iphone,1,50000,550000,2,1/15/2021
Iphone,1,50000,550000,2,9/11/2020
Iphone,1,50000,550000,2,7/7/2023
Iphone,1,50000,550000,2,11/20/2023
Iphone,1,50000,550000,2,2/22/2023
Iphone,1,50000,550000,2,3/15/2022
Iphone,1,50000,550000,2,7/28/2022
Iphone,1,50000,550000,2,2/19/2020
Iphone,1,50000,550000,2,6/2/2023
Iphone,1,50000,550000,2,1/23/2020
Iphone,1,50000,550000,2,8/16/2022
Iphone,1,50000,550000,2,12/11/2023
Iphone,1,50000,550000,2,8/8/2023
Iphone,1,50000,550000,2,3/8/2020
Iphone,1,50000,550000,2,11/2/2021
Iphone,1,50000,550000,2,9/14/2020
Iphone,1,50000,550000,2,5/4/2021
Iphone,1,50000,550000,2,12/9/2023
Iphone,1,50000,550000,2,1/14/2023
Iphone,1,50000,550000,2,7/22/2022
Iphone,1,50000,550000,2,3/19/2020
Iphone,1,50000,550000,2,7/21/2021
Iphone,1,50000,550000,2,7/21/2020
Iphone,1,50000,550000,2,8/1/2023
Iphone,1,50000,550000,2,2/17/2020
Iphone,1,50000,550000,2,2/16/2020
Iphone,1,50000,550000,2,10/6/2022
Iphone,1,50000,550000,2,7/21/2020
Iphone,1,50000,550000,2,11/1/2020
Iphone,1,50000,550000,2,11/10/2020
Iphone,1,50000,550000,2,8/17/2023
Iphone,1,50000,550000,2,12/6/2021
Iphone,1,50000,550000,2,5/7/2022
Iphone,1,50000,550000,2,9/18/2020
Iphone,1,50000,550000,2,11/3/2021
Iphone,1,50000,550000,2,5/3/2023
Iphone,1,50000,550000,2,7/13/2022
Iphone,1,50000,550000,2,8/29/2020
Iphone,1,50000,550000,2,12/31/2022
Iphone,1,50000,550000,2,6/15/2023
Iphone,1,50000,550000,2,6/9/2022
Iphone,1,50000,550000,2,7/25/2020
Iphone,1,50000,550000,2,10/24/2020
Iphone,1,50000,550000,2,12/30/2022
Iphone,1,50000,550000,2,9/10/2021
Iphone,1,50000,550000,2,1/16/2021
Iphone,1,50000,550000,2,6/27/2021
Iphone,1,50000,550000,2,6/23/2022
Iphone,1,50000,550000,2,10/9/2023
Iphone,1,50000,550000,2,8/9/2023
Iphone,1,50000,550000,2,2/27/2023
Iphone,1,50000,550000,2,5/11/2020
Iphone,1,50000,550000,2,1/18/2022
Iphone,1,50000,550000,2,1/15/2022
Iphone,1,50000,550000,2,9/6/2021
Iphone,1,50000,550000,2,8/4/2023
Iphone,1,50000,550000,2,3/30/2022
Iphone,1,50000,550000,2,4/9/2022
Iphone,1,50000,550000,2,2/11/2021
Iphone,1,50000,550000,2,7/13/2021
Iphone,1,50000,550000,2,2/27/2023
Iphone,1,50000,550000,2,9/2/2022
